region,day_type,time_slice,hour,flow_pems,flow_sl,speed_pems,speed_sl,flow_abs_error,speed_abs_error,flow_pct_error,speed_pct_error
high,weekday,am_peak,6,4313.509881422925,5103.656126482213,61.867193675889325,55.80632411067194,790.146245059288,6.060869565217388,18.317942158014425,9.796580716056319
high,weekday,am_peak,7,4523.276679841897,6056.715415019763,58.154545454545456,50.41897233201581,1533.438735177866,7.735573122529644,33.90105986688094,13.30175150036362
high,weekday,am_peak,8,4414.075098814229,6291.656126482213,56.53438735177866,49.541501976284586,1877.581027667984,6.992885375494076,42.53622753659915,12.369260025728515
high,weekday,am_peak,9,4253.924901185771,6417.466403162055,57.3102766798419,52.88932806324111,2163.541501976284,4.420948616600789,50.8598894487583,7.7140591054863945
high,weekday,midday,10,4236.529644268775,6541.00395256917,57.87391304347826,56.40316205533597,2304.474308300395,1.4707509881422922,54.39533065507789,2.541302135622622
high,weekday,midday,11,4315.766798418972,6525.841897233202,58.24229249011857,58.387351778656125,2210.07509881423,0.1450592885375528,51.20932622272046,0.24906177682165181
high,weekday,midday,12,4428.03162055336,6602.316205533597,58.432015810276674,57.612648221343875,2174.284584980237,0.8193675889327992,49.10273393008251,1.4022579532309984
high,weekday,midday,13,4500.434782608696,6578.193675889328,58.46521739130435,57.284584980237156,2077.758893280632,1.1806324110671937,46.16795917829633,2.0193757309842684
high,weekday,midday,14,4568.288537549407,6614.114624505929,57.73675889328063,56.36758893280632,2045.826086956522,1.3691699604743093,44.783206448994925,2.3714007968563897
high,weekday,off_peak,0,1139.7312252964427,1503.8142292490118,67.6608695652174,67.66798418972331,364.083003952569,0.007114624505916822,31.94463711019863,0.010515124253700481
high,weekday,off_peak,1,760.2173913043479,1113.703557312253,67.34110671936759,67.60079051383399,353.4861660079051,0.25968379446639744,46.49803727870642,0.3856244827525403
high,weekday,off_peak,2,639.2766798418972,896.9209486166008,67.30592885375495,67.6086956521739,257.6442687747035,0.3027667984189577,40.30246634969116,0.4498367433228976
high,weekday,off_peak,3,745.6245059288538,810.1936758893281,67.26837944664032,68.25691699604744,64.56916996047437,0.9885375494071127,8.659743536733416,1.4695426848973756
high,weekday,off_peak,4,1519.304347826087,1358.1146245059288,68.04664031620553,69.7588932806324,161.18972332015824,1.712252964426881,10.60944264069265,2.5162931725508018
high,weekday,off_peak,5,3329.075098814229,3233.6521739130435,68.25849802371542,66.70355731225297,95.42292490118552,1.55494071146245,2.8663494234531948,2.278017765527464
high,weekday,off_peak,19,4084.9256198347107,5726.421487603306,64.65247933884298,58.59504132231405,1641.495867768595,6.057438016528927,40.18422905421262,9.36922772100039
high,weekday,off_peak,20,3592.2561983471073,5046.714876033057,65.82851239669421,62.78099173553719,1454.45867768595,3.047520661157016,40.48872344782048,4.629484322525959
high,weekday,off_peak,21,3266.181818181818,4344.710743801653,67.5099173553719,64.80165289256199,1078.5289256198348,2.7082644628099075,33.021092690431374,4.011654241188914
high,weekday,off_peak,22,2726.6570247933882,3616.198347107438,67.75785123966942,66.11157024793388,889.5413223140499,1.6462809917355372,32.62388023962987,2.42965348164953
high,weekday,off_peak,23,1903.5578512396694,2444.4214876033056,67.69710743801653,67.32231404958678,540.8636363636363,0.37479338842975096,28.413301755520866,0.5536327955709359
high,weekday,pm_peak,15,4536.343873517787,6479.513833992095,56.56205533596838,53.76679841897233,1943.169960474308,2.7952569169960526,42.83559656528955,4.941929532780823
high,weekday,pm_peak,16,4541.648760330579,6345.359504132231,56.195867768595036,52.14462809917355,1803.7107438016528,4.051239669421484,39.714888556691555,7.209141579775573
high,weekday,pm_peak,17,4582.1322314049585,6320.830578512397,54.381404958677685,49.0,1738.6983471074382,5.381404958677685,37.94518052514439,9.89567107132816
high,weekday,pm_peak,18,4460.462809917355,6319.388429752066,59.025619834710746,51.1900826446281,1858.9256198347111,7.835537190082647,41.675621993789335,13.274807129555736
high,weekend,am_peak,6,1906.1818181818182,2044.75,67.33181818181818,68.25,138.56818181818176,0.9181818181818215,7.269410530331931,1.3636670492135339
high,weekend,am_peak,7,2603.2272727272725,2889.056818181818,66.62727272727273,67.92045454545455,285.8295454545455,1.2931818181818215,10.979815264269877,1.9409196343293817
high,weekend,am_peak,8,3286.409090909091,3829.034090909091,65.88636363636364,67.22727272727273,542.625,1.3409090909090935,16.511182417947193,2.0351845463953127
high,weekend,am_peak,9,3974.818181818182,4893.761363636364,64.41818181818182,64.5909090909091,918.943181818182,0.17272727272727195,23.119124945680767,0.2681343494213931
high,weekend,midday,10,4411.045454545455,5585.295454545455,62.67727272727273,61.93181818181818,1174.25,0.7454545454545496,26.62067330976989,1.1893538327652542
high,weekend,midday,11,4567.636363636364,5997.943181818182,61.18636363636363,60.375,1430.306818181818,0.8113636363636303,31.313937982644692,1.326053042121675
high,weekend,midday,12,4634.136363636364,6264.022727272727,59.85909090909092,60.06818181818182,1629.886363636363,0.20909090909090366,35.17130778511245,0.3493051864226502
high,weekend,midday,13,4638.136363636364,6323.386363636364,58.972727272727276,58.42045454545455,1685.25,0.5522727272727295,36.33463675653426,0.9364883613380645
high,weekend,midday,14,4616.818181818182,6211.670454545455,58.85454545454545,58.97727272727273,1594.852272727273,0.1227272727272748,34.54440287486463,0.208526413345694
high,weekend,off_peak,0,1803.5,2224.4886363636365,67.77727272727272,67.4090909090909,420.9886363636365,0.36818181818181017,23.342868664465566,0.5432231238682734
high,weekend,off_peak,1,1208.5454545454545,1581.7613636363637,67.67272727272727,67.86363636363636,373.21590909090924,0.1909090909090878,30.881412667368753,0.2821063944116021
high,weekend,off_peak,2,937.3181818181819,1304.7045454545455,67.66818181818182,68.125,367.3863636363636,0.45681818181817846,39.19548033558023,0.6750856451937882
high,weekend,off_peak,3,725.4090909090909,842.8068181818181,67.47727272727273,68.18181818181819,117.39772727272725,0.7045454545454533,16.1836581239426,1.0441226002020862
high,weekend,off_peak,4,801.7727272727273,743.6022727272727,67.5409090909091,68.93181818181819,58.170454545454504,1.3909090909090907,7.255229888315659,2.059357964869775
high,weekend,off_peak,5,1235.2727272727273,1170.8977272727273,67.76818181818182,69.18181818181819,64.375,1.4136363636363711,5.211399764498087,2.0859883291971406
high,weekend,off_peak,19,4014.818181818182,5218.0,64.76363636363637,60.875,1203.181818181818,3.8886363636363654,29.968525688925112,6.004351487928132
high,weekend,off_peak,20,3803.3636363636365,4497.568181818182,64.13636363636364,62.69318181818182,694.2045454545455,1.4431818181818201,18.25238425317303,2.25017717930546
high,weekend,off_peak,21,3671.9545454545455,4215.511363636364,67.19545454545454,63.60227272727273,543.5568181818185,3.5931818181818116,14.802928834036871,5.347358452276254
high,weekend,off_peak,22,3255.181818181818,3534.2727272727275,67.67272727272727,64.02272727272727,279.09090909090946,3.6500000000000057,8.573742564303082,5.393605588393345
high,weekend,off_peak,23,2391.4545454545455,2652.375,67.7909090909091,65.4090909090909,260.9204545454545,2.38181818181819,10.910533718543295,3.5134772696795076
high,weekend,pm_peak,15,4579.272727272727,6089.352272727273,59.32272727272727,58.81818181818182,1510.079545454546,0.5045454545454504,32.97640554276187,0.850509539498882
high,weekend,pm_peak,16,4532.409090909091,6072.375,60.39545454545455,59.20454545454545,1539.965909090909,1.190909090909095,33.97676331070171,1.9718521863475644
high,weekend,pm_peak,17,4469.772727272727,5938.181818181818,62.154545454545456,57.03409090909091,1468.409090909091,5.12045454545455,32.85198555956679,8.238262395787633
high,weekend,pm_peak,18,4295.818181818182,5787.840909090909,63.904545454545456,57.77272727272727,1492.022727272727,6.131818181818183,34.73198036145087,9.595277046731631
low,weekday,am_peak,6,1004.7536231884058,779.3333333333334,67.42995169082126,66.14009661835749,225.42028985507238,1.2898550724637659,22.43537964458804,1.9128815016477971
low,weekday,am_peak,7,1526.6280193236714,1321.8599033816424,66.93816425120774,65.01932367149759,204.768115942029,1.9188405797101495,13.41309823677582,2.866586798689402
low,weekday,am_peak,8,1460.2753623188405,1374.8357487922706,66.59516908212561,64.29951690821257,85.43961352656993,2.295652173913041,5.8509248139951024,3.4471752314075927
low,weekday,am_peak,9,1152.2463768115942,1264.743961352657,66.59806763285023,64.3623188405797,112.49758454106268,2.2357487922705275,9.763327254051097,3.357077572574673
low,weekday,midday,10,1190.5169082125603,1438.9130434782608,66.44009661835749,64.17874396135265,248.39613526570042,2.261352657004835,20.86456173383055,3.4035962801113993
low,weekday,midday,11,1294.1400966183576,1636.0676328502416,66.20096618357488,64.1256038647343,341.927536231884,2.0753623188405754,26.421214915244107,3.1349426428091824
low,weekday,midday,12,1369.5072463768115,1762.5314009661836,65.9280193236715,64.0,393.0241545893721,1.9280193236715064,28.69821650299132,2.9244308314587113
low,weekday,midday,13,1431.1014492753623,1837.0434782608695,66.03623188405797,64.16425120772946,405.94202898550725,1.871980676328505,28.365705952646188,2.8347781557482024
low,weekday,midday,14,1563.657004830918,1993.3671497584542,65.86328502415459,63.84541062801932,429.71014492753625,2.0178743961352694,27.48109998547935,3.06373178227481
low,weekday,off_peak,0,83.11111111111111,102.03381642512078,67.0135265700483,65.09178743961353,18.92270531400966,1.9217391304347728,22.76796093931644,2.867688403812036
low,weekday,off_peak,1,62.81642512077295,78.33333333333333,66.90579710144928,64.83091787439614,15.51690821256038,2.0748792270531453,24.70199184803506,3.1011949889887798
low,weekday,off_peak,2,56.59903381642512,66.17874396135265,66.74492753623188,64.29468599033817,9.579710144927532,2.450241545893718,16.925571867531573,3.671052822049475
low,weekday,off_peak,3,79.22705314009661,85.2512077294686,66.8536231884058,64.78260869565217,6.024154589371989,2.0710144927536334,7.603658536585376,3.0978343341498986
low,weekday,off_peak,4,163.7487922705314,163.93236714975845,67.02753623188406,65.79710144927536,0.18357487922705218,1.2304347826086968,0.11210762331838506,1.8357153668187438
low,weekday,off_peak,5,447.5507246376812,351.8309178743961,67.65169082125604,67.27053140096618,95.71980676328508,0.38115942028986183,21.387476657707555,0.5634144773955926
low,weekday,off_peak,19,678.9343434343434,961.020202020202,67.6010101010101,64.72727272727273,282.08585858585855,2.87373737373737,41.54832662595124,4.251027269331336
low,weekday,off_peak,20,534.6868686868687,739.9343434343434,67.53585858585859,64.98989898989899,205.2474747474747,2.5459595959596015,38.38648127857331,3.7697893375012232
low,weekday,off_peak,21,398.42424242424244,528.6616161616162,67.47979797979798,65.1969696969697,130.23737373737373,2.2828282828282767,32.688114795659665,3.382980315844613
low,weekday,off_peak,22,253.12121212121212,315.9040404040404,67.34848484848484,65.56060606060606,62.78282828282829,1.7878787878787818,24.803463825372123,2.6546681664791816
low,weekday,off_peak,23,151.18686868686868,189.57070707070707,67.18939393939394,65.44949494949495,38.383838383838395,1.7398989898989896,25.388341406380498,2.589544104934791
low,weekday,pm_peak,15,1780.9710144927535,2197.5893719806763,65.46714975845411,62.77777777777778,416.6183574879228,2.6893719806763343,23.392764626581066,4.107971693588267
low,weekday,pm_peak,16,1683.969696969697,2056.070707070707,65.91262626262626,63.32828282828283,372.10101010101016,2.584343434343431,22.096657129318054,3.9208624824721996
low,weekday,pm_peak,17,1519.0151515151515,1857.590909090909,66.21414141414141,63.06565656565657,338.5757575757575,3.1484848484848413,22.289162635280032,4.755003661215513
low,weekday,pm_peak,18,986.6717171717172,1335.8989898989898,67.13434343434344,63.75757575757576,349.22727272727263,3.3767676767676775,35.39447484400672,5.029866241367379
low,weekend,am_peak,6,301.9861111111111,256.2916666666667,67.38055555555555,67.08333333333333,45.6944444444444,0.29722222222221717,15.131306627420305,0.4411097827431183
low,weekend,am_peak,7,458.4861111111111,445.0138888888889,67.43333333333334,67.93055555555556,13.472222222222172,0.49722222222222,2.9384144679046273,0.7373537650354226
low,weekend,am_peak,8,683.5833333333334,721.5138888888889,67.59166666666667,68.09722222222223,37.93055555555554,0.50555555555556,5.548782965581696,0.7479554514445468
low,weekend,am_peak,9,994.7361111111111,1105.9444444444443,67.53055555555555,66.81944444444444,111.20833333333326,0.7111111111111086,11.179681936862087,1.053021266093534
low,weekend,midday,10,1237.2916666666667,1482.6527777777778,67.26805555555556,66.40277777777777,245.3611111111111,0.8652777777777914,19.83049896166582,1.2863130510189533
low,weekend,midday,11,1439.0555555555557,1787.9166666666667,66.88611111111112,65.77777777777777,348.8611111111111,1.1083333333333485,24.242365749141022,1.6570455583703867
low,weekend,midday,12,1556.1527777777778,1920.875,66.25972222222222,65.54166666666667,364.7222222222222,0.7180555555555515,23.437430272306166,1.0836984090384998
low,weekend,midday,13,1577.3472222222222,1946.8472222222222,66.49027777777778,65.94444444444444,369.5,0.5458333333333343,23.425406581021228,0.8209220228521311
low,weekend,midday,14,1531.9166666666667,1902.3333333333333,66.57638888888889,66.18055555555556,370.4166666666665,0.3958333333333286,24.179948865799915,0.594555126734112
low,weekend,off_peak,0,113.95833333333333,112.625,67.17222222222222,65.02777777777777,1.3333333333333286,2.1444444444444457,1.1700182815356448,3.19245719956993
low,weekend,off_peak,1,72.15277777777777,76.5,67.23472222222222,64.48611111111111,4.3472222222222285,2.748611111111103,6.0250240615976995,4.088082794521668
low,weekend,off_peak,2,53.65277777777778,57.611111111111114,66.97083333333333,64.55555555555556,3.9583333333333357,2.4152777777777743,7.377685736474247,3.6064621829569203
low,weekend,off_peak,3,61.68055555555556,49.84722222222222,66.88611111111112,64.52777777777777,11.833333333333336,2.3583333333333485,19.18486827291151,3.5258939324723007
low,weekend,off_peak,4,82.34722222222223,78.45833333333333,66.82361111111112,66.70833333333333,3.8888888888889,0.11527777777779136,4.722550177095645,0.17251054808473754
low,weekend,off_peak,5,176.51388888888889,147.90277777777777,67.20972222222223,67.05555555555556,28.611111111111114,0.15416666666666856,16.208985758124168,0.22938149655928036
low,weekend,off_peak,19,752.125,988.2638888888889,67.73611111111111,65.19444444444444,236.1388888888889,2.5416666666666714,31.396229202444925,3.752306745950386
low,weekend,off_peak,20,592.9583333333334,702.7638888888889,67.54722222222222,64.81944444444444,109.80555555555554,2.7277777777777743,18.518258262478625,4.038327096270095
low,weekend,off_peak,21,425.56944444444446,470.7916666666667,67.58333333333333,65.52777777777777,45.22222222222223,2.055555555555557,10.626285042916354,3.041512535963833
low,weekend,off_peak,22,287.2638888888889,307.625,67.51111111111112,65.65277777777777,20.361111111111086,1.8583333333333485,7.087946622830334,2.752633311389094
low,weekend,off_peak,23,190.18055555555554,185.70833333333334,67.42777777777778,65.95833333333333,4.4722222222222,1.4694444444444485,2.351566493828952,2.1792864793606386
low,weekend,pm_peak,15,1476.4166666666667,1859.4166666666667,66.66805555555555,66.16666666666667,383.0,0.5013888888888829,25.941186431111362,0.7520676652569648
